model,trait,format,prefix,neutral,method,layer,n_train,sign_correct_train,n_hold,sign_correct_hold,snr_train,snr_hold,mean_signed_hold,cv_acc,k_pcs_at_layer,cos_to_lda
Gemma12,X,bare,generic,scenario_setups,LDA,20,50,46,24,23,1.4777860641479492,1.8454562425613403,96.77310943603516,1.0,,
Gemma12,X,bare,generic,scenario_setups,LR,20,50,50,24,23,7.4419291332430895,2.2448680937112,212.5888622056854,,,0.1706400511343989
Gemma12,X,bare,generic,scenario_setups,MD-raw,31,50,50,24,24,3.2820441722869873,2.0055768489837646,1202.1767578125,,,0.14568783342838287
Gemma12,X,bare,generic,scenario_setups,MD-projected,28,50,50,24,24,3.6147310733795166,2.108745813369751,959.4152221679688,,2,0.15251940488815308
Gemma12,A,chat,generic,scenario_setups,LDA,15,50,45,24,22,1.309169054031372,1.5592231750488281,25.95366668701172,1.0,,
Gemma12,A,chat,generic,scenario_setups,LR,15,50,50,24,24,5.358704852263316,1.628528346632207,72.57645991069144,,,0.19096145249530422
Gemma12,A,chat,generic,scenario_setups,MD-raw,37,50,50,24,24,3.825159788131714,2.0514907836914062,1137.3431396484375,,,0.12591813504695892
Gemma12,A,chat,generic,scenario_setups,MD-projected,24,50,50,24,24,4.521377086639404,2.5037126541137695,417.5838317871094,,1,0.12888182699680328
Gemma12,A,bare,generic,scenario_setups,LDA,23,50,47,24,24,1.3951267004013062,1.9900277853012085,128.43255615234375,1.0,,
Gemma12,A,bare,generic,scenario_setups,LR,23,50,50,24,24,6.849648583262129,2.547253812770345,339.91942752345693,,,0.2270858635249839
Gemma12,A,bare,generic,scenario_setups,MD-raw,48,50,50,24,23,3.350358486175537,1.753941297531128,6.96923828125,,,0.13552866876125336
Gemma12,A,bare,generic,scenario_setups,MD-projected,23,50,50,24,24,3.987933397293091,2.4041950702667236,350.3893127441406,,1,0.356771320104599
Gemma12,C,chat,generic,scenario_setups,LDA,10,50,45,24,24,1.1253716945648193,1.3180865049362183,6.942372798919678,1.0,,
Gemma12,C,chat,generic,scenario_setups,LR,10,50,50,24,23,4.947710393508934,1.4151533401916097,45.88612586948785,,,0.03422681135230249
Gemma12,C,chat,generic,scenario_setups,MD-raw,48,50,50,24,24,3.6732749938964844,1.7205021381378174,13.441075325012207,,,0.06309837847948074
Gemma12,C,chat,generic,scenario_setups,MD-projected,48,50,50,24,24,3.8758721351623535,1.7178465127944946,11.866490364074707,,32,0.05282321572303772
Gemma12,C,bare,generic,scenario_setups,LDA,10,50,45,24,24,1.1258642673492432,1.296006441116333,7.756814479827881,1.0,,
Gemma12,C,bare,generic,scenario_setups,LR,10,50,50,24,23,4.959784176293574,1.3877793549993636,49.41264448010133,,,0.03200212527729493
Gemma12,C,bare,generic,scenario_setups,MD-raw,48,50,50,24,23,2.9741628170013428,1.571946144104004,10.601920127868652,,,0.0760827362537384
Gemma12,C,bare,generic,scenario_setups,MD-projected,32,50,50,24,24,3.3406765460968018,1.7692131996154785,1208.91748046875,,9,0.05231979861855507
Gemma12,O,chat,generic,scenario_setups,LDA,14,50,48,24,24,1.5486383438110352,3.4428014755249023,24.82753562927246,1.0,,
Gemma12,O,chat,generic,scenario_setups,LR,14,50,50,24,24,5.292968862844889,3.3920926919841894,100.8480906412746,,,0.12232755246845117
Gemma12,O,chat,generic,scenario_setups,MD-raw,46,50,50,24,24,4.029064655303955,3.724396228790283,2476.623046875,,,0.09654098749160767
Gemma12,O,chat,generic,scenario_setups,MD-projected,46,50,50,24,24,4.071547031402588,3.73640775680542,2390.1337890625,,1,0.09671157598495483
Gemma12,O,bare,generic,scenario_setups,LDA,14,50,47,24,24,1.4999346733093262,3.1632797718048096,24.666717529296875,1.0,,
Gemma12,O,bare,generic,scenario_setups,LR,14,50,50,24,24,5.101607259219789,2.9185106646018575,105.21920592420751,,,0.10117004476368881
Gemma12,O,bare,generic,scenario_setups,MD-raw,48,50,50,24,24,3.489849328994751,3.51623272895813,10.864811897277832,,,0.09069356322288513
Gemma12,O,bare,generic,scenario_setups,MD-projected,19,50,50,24,24,3.5650784969329834,4.041929244995117,228.7989044189453,,1,0.18394815921783447
Llama8,H,chat,generic,scenario_setups,LDA,13,50,48,24,23,1.519619345664978,1.3369412422180176,0.4089571535587311,1.0,,
Llama8,H,chat,generic,scenario_setups,LR,13,50,50,24,22,4.070699743774012,1.3042619913300588,0.6693745838380633,,,0.420915456153972
Llama8,H,chat,generic,scenario_setups,MD-raw,16,50,50,24,18,2.780421495437622,0.9388997554779053,0.7222622036933899,,,0.34257662296295166
Llama8,H,chat,generic,scenario_setups,MD-projected,16,50,50,24,18,2.8158979415893555,0.9422101378440857,0.7205779552459717,,3,0.34119048714637756
Llama8,H,bare,generic,scenario_setups,LDA,11,50,45,24,21,1.2817519903182983,1.223947286605835,0.31240513920783997,0.9800000000000001,,
Llama8,H,bare,generic,scenario_setups,LR,11,50,50,24,21,3.891978095995649,1.220488105272264,0.5267849384105056,,,0.37439695664051625
Llama8,H,bare,generic,scenario_setups,MD-raw,13,50,50,24,22,2.660998582839966,1.1268751621246338,0.7006797194480896,,,0.3500293493270874
Llama8,H,bare,generic,scenario_setups,MD-projected,13,50,50,24,22,2.7509870529174805,1.2221018075942993,0.6887899041175842,,25,0.3508387804031372
Llama8,E,chat,generic,scenario_setups,LDA,8,50,47,24,23,1.698956847190857,1.6764791011810303,0.2479734867811203,1.0,,
